order_date,total_sales,cumulative_total_sales
NULL,4992,4992
12/1/2010,43419,48411
1/1/2011,469795,518206
2/1/2011,466307,984513
3/1/2011,485165,1469678
4/1/2011,502042,1971720
5/1/2011,561647,2533367
6/1/2011,737793,3271160
7/1/2011,596710,3867870
8/1/2011,614516,4482386
9/1/2011,603047,5085433
10/1/2011,708164,5793597
11/1/2011,660507,6454104
12/1/2011,669395,7123499
1/1/2012,495363,7618862
2/1/2012,506992,8125854
3/1/2012,373478,8499332
4/1/2012,400324,8899656
5/1/2012,358866,9258522
6/1/2012,555142,9813664
7/1/2012,444533,10258197
8/1/2012,523887,10782084
9/1/2012,486149,11268233
10/1/2012,535125,11803358
11/1/2012,537918,12341276
12/1/2012,624454,12965730
1/1/2013,857758,13823488
2/1/2013,771218,14594706
3/1/2013,1049732,15644438
4/1/2013,1045860,16690298
5/1/2013,1284456,17974754
6/1/2013,1642948,19617702
7/1/2013,1371595,20989297
8/1/2013,1545910,22535207
9/1/2013,1447324,23982531
10/1/2013,1673261,25655792
11/1/2013,1780688,27436480
12/1/2013,1874128,29310608
1/1/2014,45642,29356250
