order_year,product_name,current_sales,average_sales,avg_change,py_change
2012,All-Purpose Bike Stand,159,13197,Below AVG,No Change
2013,All-Purpose Bike Stand,37683,13197,Above AVG,Increase
2014,All-Purpose Bike Stand,1749,13197,Below AVG,Decrease
2012,AWC Logo Cap,72,6570,Below AVG,No Change
2013,AWC Logo Cap,18891,6570,Above AVG,Increase
2014,AWC Logo Cap,747,6570,Below AVG,Decrease
2013,Bike Wash - Dissolver,6960,3636,Above AVG,No Change
2014,Bike Wash - Dissolver,312,3636,Below AVG,Decrease
2013,Classic Vest- L,11968,6240,Above AVG,No Change
2014,Classic Vest- L,512,6240,Below AVG,Decrease
2013,Classic Vest- M,11840,6368,Above AVG,No Change
2014,Classic Vest- M,896,6368,Below AVG,Decrease
2012,Classic Vest- S,64,3648,Below AVG,No Change
2013,Classic Vest- S,10368,3648,Above AVG,Increase
2014,Classic Vest- S,512,3648,Below AVG,Decrease
2012,Fender Set - Mountain,110,15554,Below AVG,No Change
2013,Fender Set - Mountain,44484,15554,Above AVG,Increase
2014,Fender Set - Mountain,2068,15554,Below AVG,Decrease
2012,Half-Finger Gloves- L,24,3544,Below AVG,No Change
2013,Half-Finger Gloves- L,10248,3544,Above AVG,Increase
2014,Half-Finger Gloves- L,360,3544,Below AVG,Decrease
2012,Half-Finger Gloves- M,24,3992,Below AVG,No Change
2013,Half-Finger Gloves- M,11376,3992,Above AVG,Increase
2014,Half-Finger Gloves- M,576,3992,Below AVG,Decrease
2012,Half-Finger Gloves- S,24,3896,Below AVG,No Change
2013,Half-Finger Gloves- S,11064,3896,Above AVG,Increase
2014,Half-Finger Gloves- S,600,3896,Below AVG,Decrease
2013,Hitch Rack - 4-Bike,36840,19620,Above AVG,No Change
2014,Hitch Rack - 4-Bike,2400,19620,Below AVG,Decrease
2012,HL Mountain Tire,140,16286,Below AVG,No Change
2013,HL Mountain Tire,46935,16286,Above AVG,Increase
2014,HL Mountain Tire,1785,16286,Below AVG,Decrease
2012,HL Road Tire,132,9438,Below AVG,No Change
2013,HL Road Tire,26532,9438,Above AVG,Increase
2014,HL Road Tire,1650,9438,Below AVG,Decrease
2012,Hydration Pack - 70 oz.,110,13438,Below AVG,No Change
2013,Hydration Pack - 70 oz.,38940,13438,Above AVG,Increase
2014,Hydration Pack - 70 oz.,1265,13438,Below AVG,Decrease
2013,LL Mountain Tire,20125,10775,Above AVG,No Change
2014,LL Mountain Tire,1425,10775,Below AVG,Decrease
2012,LL Road Tire,105,7301,Below AVG,No Change
2013,LL Road Tire,20622,7301,Above AVG,Increase
2014,LL Road Tire,1176,7301,Below AVG,Decrease
2012,Long-Sleeve Logo Jersey- L,150,7550,Below AVG,No Change
2013,Long-Sleeve Logo Jersey- L,21550,7550,Above AVG,Increase
2014,Long-Sleeve Logo Jersey- L,950,7550,Below AVG,Decrease
2012,Long-Sleeve Logo Jersey- M,50,7366,Below AVG,No Change
2013,Long-Sleeve Logo Jersey- M,20850,7366,Above AVG,Increase
2014,Long-Sleeve Logo Jersey- M,1200,7366,Below AVG,Decrease
